Suhu (Celsius),Kelembaban (%),Kecepatan Angin (km/jam),Tebal Awan (meter),Tekanan Atmosfer (hPa),Prakiraan Cuaca
21,98,1,995,1025,Hujan
34,51,25,259,957,Berawan
29,51,16,574,1047,Hujan
25,77,7,951,1099,Hujan
22,72,0,763,960,Cerah
35,86,8,789,1026,Cerah
21,81,10,774,1004,Berawan
33,82,21,479,1066,Cerah
25,50,15,644,900,Cerah
25,68,6,790,1030,Berawan
35,51,28,526,991,Cerah
18,93,9,712,1089,Berawan
22,75,22,367,1090,Berawan
17,81,25,934,1012,Berawan
35,55,2,676,1052,Berawan
16,81,17,516,955,Berawan
26,53,24,267,1060,Cerah
20,60,23,941,1065,Berawan
16,66,12,142,1016,Berawan
35,87,27,655,1033,Hujan
15,73,25,384,957,Berawan
26,54,6,496,943,Hujan
26,83,24,111,1072,Berawan
31,55,3,706,1059,Cerah
24,71,12,401,1072,Hujan
30,60,19,997,960,Cerah
29,97,0,352,946,Cerah
29,65,7,598,1048,Cerah
33,82,13,853,979,Berawan
26,58,15,134,1017,Berawan
34,55,13,826,1063,Cerah
17,65,11,948,1046,Hujan
19,78,18,189,919,Cerah
33,52,22,875,1084,Cerah
21,69,14,704,1045,Cerah
35,85,27,701,946,Cerah
23,68,1,517,948,Berawan
21,75,1,214,913,Berawan
32,52,22,716,1042,Berawan
18,68,30,295,1058,Cerah
28,69,21,925,900,Cerah
32,81,18,600,1016,Cerah
23,56,24,725,953,Hujan
35,90,25,592,1017,Cerah
16,82,30,174,902,Berawan
34,89,29,512,1043,Hujan
29,88,28,475,1084,Berawan
21,67,21,519,911,Hujan
26,89,25,828,973,Cerah
22,50,25,376,915,Hujan
29,60,21,860,1099,Berawan
17,77,16,775,1001,Hujan
28,74,19,493,1051,Cerah
31,99,9,968,1055,Cerah
18,72,5,556,1016,Cerah
32,80,14,291,907,Berawan
22,79,21,838,1021,Hujan
18,91,10,788,991,Hujan
16,84,27,198,1063,Cerah
20,56,4,647,989,Hujan
24,65,0,195,1035,Cerah
18,75,7,763,1085,Cerah
32,97,20,762,959,Cerah
26,98,27,289,1077,Hujan
16,51,11,835,927,Cerah
24,50,11,136,1000,Berawan
18,97,4,879,940,Hujan
28,61,6,468,1091,Cerah
30,54,3,794,1054,Berawan
29,86,5,624,1090,Cerah
,81,12,378,1044,Cerah
28,58,19,316,1100,Berawan
22,90,29,966,1060,Cerah
35,84,14,972,1056,Berawan
30,68,2,897,1040,Berawan
27,97,22,372,945,Berawan
32,65,7,980,934,Hujan
29,52,19,161,1033,Berawan
35,69,15,695,981,Berawan
27,73,12,979,1014,Berawan
23,82,17,,1096,Cerah
29,73,27,441,946,Cerah
27,60,9,496,1052,Hujan
15,98,29,798,1093,Berawan
21,57,18,118,909,Cerah
23,85,16,276,955,Berawan
15,87,23,711,929,Cerah
26,89,30,495,1008,Hujan
22,69,18,544,904,Cerah
25,84,27,332,1018,Cerah
33,97,25,175,932,Cerah
31,74,22,364,1017,Berawan
22,84,25,554,964,Hujan
17,74,4,895,1045,Cerah
17,78,25,817,1076,Hujan
15,67,20,834,910,Cerah
19,95,29,483,984,Hujan
24,67,22,663,925,Cerah
21,51,30,950,962,Cerah
23,84,8,605,985,Berawan
21,65,11,466,958,Hujan
23,90,20,243,926,Hujan
22,85,0,984,1076,Berawan
26,82,25,,1060,Hujan
,53,25,198,997,Cerah
15,82,0,495,1004,Hujan
30,63,14,124,998,Berawan
19,70,1,990,1028,Hujan
17,97,29,568,1048,Hujan
26,69,21,583,954,Hujan
22,57,15,664,905,Berawan
17,56,24,250,1096,Berawan
15,52,7,243,994,Hujan
17,66,12,668,1032,Cerah
19,82,20,138,1001,Hujan
29,97,0,208,902,Hujan
28,61,15,792,1080,Cerah
17,100,28,141,922,Hujan
15,71,6,285,952,Berawan
19,71,30,497,1064,Hujan
28,95,4,322,982,Hujan
21,79,21,733,1044,Cerah
23,87,28,232,984,Berawan
,87,22,262,977,Hujan
29,94,2,314,1100,Cerah
24,100,11,832,1009,Berawan
27,57,25,334,900,Cerah
33,76,15,942,950,Berawan
21,76,18,757,1072,Berawan
31,83,4,850,903,Berawan
34,70,21,687,1089,Cerah
,79,24,108,1092,Berawan
19,82,28,173,1012,Cerah
21,77,13,591,931,Cerah
27,96,27,352,933,Cerah
29,82,4,329,991,Cerah
25,54,14,618,994,Berawan
18,97,16,273,971,Berawan
27,68,29,752,938,Hujan
21,53,13,267,1053,Cerah
33,84,29,269,1061,Hujan
16,98,19,492,1081,Hujan
24,66,4,894,1017,Berawan
,93,11,733,902,Hujan
35,77,15,293,1022,Hujan
20,79,25,616,949,Cerah
26,78,25,128,911,Cerah
26,95,15,264,1092,Hujan
34,55,20,521,953,Hujan
